Airline,Totalflights
American Airlines Inc,752241
America West Airlines Inc,189519
Delta Air Lines Inc,660617
Hawaiian Airlines Inc,7831
United Air Lines Inc,543957
Alaska Airlines Inc,161594
Northwest Airlines Inc,499160
AirTran Airways Corporation,144700
Southwest Airlines Co,958566
US Airways Inc,411956
JetBlue Airways,67184
Skywest Airlines Inc,396783
ATA Airlines,69176
Expressjet Airlines Inc,328086
Independence Air,291600
American Eagle Airlines Inc,429098
Continental Air Lines Inc,302742
Atlantic Southeast Airlines,273712
